position,title
Q3409186,President
Q48730631,Vice President
Q1788970,Prime Minister
Q109989349,Deputy Prime Minister
Q74674019,Minister of Agriculture
Q109991543,Minister of Culture and Tourism
Q109994070,Minister of Culture and Sport
Q54238011,Minister of Defence
Q75025327,Minister of Education
Q109991279,Minister of Finance and Economic Development
Q54245074,Minister of Foreign Affairs
Q87771423,Minister of Health
Q109993899,Minister of Industry
Q109993978,Minister of Innovation and Technology
Q109990365,Minister of Irrigation and Lowlands
Q54248633,Minister of Justice
Q109992051,Minister of Labour and Skills Development
Q109991517,Minister of Labour and Social Affairs
Q42509253,Minister of Mines and Petroleum
Q109991790,Minister of Peace
Q109992339,Minister of Planning and Development
Q109993728,Minister of Revenues
Q109991632,Minister of Science and Higher Education
Q109991209,Minister of Science and Technology
Q109994665,Minister of Tourism
Q54281839,Minister of Trade
Q109989668,Minister of Transport and Communications
Q109990392,Minister of Urban Development and Construction
Q109993563,Minister of Urbanization and Infrastructure
Q109993654,Minister of Water and Energy
Q109992184,Minister of Women and Social Affairs
Q109995099,Speaker of the House of Federation
Q63247126,Speaker of the House of People's Representatives
Q109989461,National Security Advisor
Q109995226,Governor of the National Bank
Q56276769,Chief of General Staff
Q16146930,Mayor of Addis Ababa
